substance,time,temperature
BA,30 ,292.657 
BA,60 ,292.674 
BA,90 ,292.684 
BA,120 ,292.693 
BA,150 ,292.702 
BA,180 ,292.710 
BA,210 ,292.717 
BA,240 ,292.724 
BA,270 ,292.732 
BA,300 ,292.743 
BA,330 ,292.784 
BA,360 ,293.130 
BA,390 ,293.500 
BA,420 ,293.698 
BA,450 ,293.805 
BA,480 ,293.870 
BA,510 ,293.916 
BA,540 ,293.949 
BA,570 ,293.976 
BA,600 ,294.000 
BA,630 ,294.020 
BA,660 ,294.036 
BA,690 ,294.053 
BA,720 ,294.068 
BA,750 ,294.082 
BA,780 ,294.094 
BA,810 ,294.107 
BA,840 ,294.117 
BA,870 ,294.128 
BA,900 ,294.138 
BA,930 ,294.147 
BA,960 ,294.155 
BA,990 ,294.164 
BA,1020 ,294.172 
BA,1050 ,294.217 
BA,1080 ,294.224 
BA,1110 ,294.231 
BA,1140 ,294.237 
BA,1170 ,294.244 
BA,1200 ,294.250 
BA,1230 ,294.255 
BA,1260 ,294.261 
BA,1290 ,294.265 
BA,1320 ,294.270 
BA,1350 ,294.274 
BA,1380 ,294.279 
BA,1410 ,294.283 
BA,1440 ,294.287 
BA,1470 ,294.290 
BA,1500 ,294.294 
BA,1530 ,294.298 
BA,1560 ,294.301 
BA,1590 ,294.304 
BA,1620 ,294.308 
BA,1650 ,294.310 
BA,1680 ,294.313 
BA,1710 ,294.317 
BA,1740 ,294.319 
BA,1770 ,294.321 
BA,1800 ,294.325 
N,30 ,292.488 
N,60 ,292.498 
N,90 ,292.503 
N,120 ,292.508 
N,150 ,292.511 
N,180 ,292.513 
N,210 ,292.517 
N,240 ,292.519 
N,270 ,292.521 
N,300 ,292.523 
N,330 ,292.555 
N,360 ,292.840 
N,390 ,293.216 
N,420 ,293.529 
N,450 ,293.735 
N,480 ,293.858 
N,510 ,293.935 
N,540 ,293.986 
N,570 ,294.024 
N,600 ,294.053 
N,630 ,294.079 
N,660 ,294.100 
N,690 ,294.118 
N,720 ,294.135 
N,750 ,294.150 
N,780 ,294.164 
N,810 ,294.232 
N,840 ,294.242 
N,870 ,294.253 
N,900 ,294.262 
N,930 ,294.271 
N,960 ,294.280 
N,990 ,294.288 
N,1020 ,294.294 
N,1050 ,294.302 
N,1080 ,294.309 
N,1110 ,294.316 
N,1140 ,294.322 
N,1170 ,294.328 
N,1200 ,294.333 
N,1230 ,294.339 
N,1260 ,294.344 
N,1290 ,294.349 
N,1320 ,294.354 
N,1350 ,294.358 
N,1380 ,294.361 
N,1410 ,294.366 
N,1440 ,294.369 
N,1470 ,294.373 
N,1500 ,294.376 
N,1530 ,294.379 
N,1560 ,294.383 
N,1590 ,294.386 
N,1620 ,294.388 
N,1650 ,294.390 
N,1680 ,294.393 
N,1710 ,294.396 
N,1740 ,294.398 
N,1770 ,294.400 
N,1800 ,294.402 
